epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
72,1.0,1.0,1.7034226118539664e-07,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.106069564819336,0.9090909361839294,0.8928571343421936,1.0
73,1.0,1.0,1.3923267852253847e-17,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.1060726642608643,0.9090909361839294,0.8928571343421936,1.0
74,1.0,1.0,1.1986684656848098e-22,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.1060726642608643,0.9090909361839294,0.8928571343421936,1.0
75,1.0,1.0,1.2227202496768583e-16,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.1060726642608643,0.9090909361839294,0.8928571343421936,1.0
76,1.0,1.0,1.764926919889387e-11,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.106073260307312,0.9090909361839294,0.8928571343421936,1.0
77,1.0,1.0,1.9139978338270573e-17,1.0,1.0,1.0,0.9885714054107666,0.9947367906570435,1.106073260307312,0.9090909361839294,0.8928571343421936,1.0
78,0.9996471405029297,0.9994128346443176,0.002138056792318821,0.9994322657585144,1.0,0.998826265335083,0.9923809766769409,0.995705246925354,1.7821725606918335,0.9245423674583435,0.9259259104728699,1.0
79,0.9996471405029297,0.9997473955154419,0.007501391693949699,0.998826265335083,0.9988276958465576,1.0,0.9923809766769409,0.9957894682884216,1.7398332357406616,0.9259259104728699,0.9259259104728699,1.0
80,1.0,1.0,3.857249551909208e-15,1.0,1.0,1.0,0.9923809766769409,0.9957894682884216,1.7398386001586914,0.9259259104728699,0.9259259104728699,1.0
81,0.9992942810058594,0.9997473955154419,0.007726402021944523,0.998826265335083,0.998826265335083,0.998826265335083,0.9904761910438538,0.9857894778251648,1.4588806629180908,0.9108303189277649,0.9245283007621765,0.9800000190734863
82,1.0,1.0,2.7940212290061017e-21,1.0,1.0,1.0,0.9904761910438538,0.9857894778251648,1.4588807821273804,0.9108303189277649,0.9245283007621765,0.9800000190734863
83,0.9985885620117188,0.9985724687576294,0.05105648934841156,0.9976885914802551,0.9976525902748108,0.9976525902748108,0.9904761910438538,0.9857894778251648,1.6173923015594482,0.9108303189277649,0.9245283007621765,0.9800000190734863
84,1.0,1.0,2.216973351721698e-23,1.0,1.0,1.0,0.9904761910438538,0.9857894778251648,1.601635456085205,0.9108303189277649,0.9245283007621765,0.9800000190734863
85,1.0,1.0,1.339904298625072e-10,1.0,1.0,1.0,0.9904761910438538,0.9857894778251648,1.6016334295272827,0.9108303189277649,0.9245283007621765,0.9800000190734863
86,1.0,1.0,3.662197405471333e-20,1.0,1.0,1.0,0.9904761910438538,0.9857894778251648,1.6016334295272827,0.9108303189277649,0.9245283007621765,0.9800000190734863
